match_id,player_id,kills,deaths,assists,cs_per_min,gold_per_min,vision_score,xp_per_min,rank
M00000,P6942,0,2,6,4.59,284,20,366,Gold
M00000,P7813,3,0,1,4.21,325,19,385,Platinum
M00000,P9567,1,0,1,6.56,401,11,316,Master
M00000,P9146,2,0,3,4.79,384,32,295,Gold
M00000,P6291,0,0,1,6.92,369,5,204,Iron
M00000,P9983,1,0,2,3.78,340,18,281,Platinum
M00000,P2918,1,2,4,6.57,344,15,371,Gold
M00000,P1846,0,0,2,8.63,277,16,314,Bronze
M00000,P1420,0,1,4,6.76,402,37,310,Silver
M00000,P3411,1,4,2,7.47,465,29,308,Platinum
M00001,P4046,0,0,3,6.62,374,11,391,Gold
M00001,P7432,3,1,2,7.2,361,39,351,Platinum
M00001,P4888,2,1,2,8.46,344,18,357,Platinum
M00001,P8820,1,0,3,5.13,362,15,260,Platinum
M00001,P8828,0,1,2,7.37,357,22,260,Diamond
M00001,P6983,2,2,4,10.08,352,21,305,Diamond
M00001,P8319,1,1,2,5.84,457,33,292,Silver
M00001,P8565,0,2,1,6.9,284,24,293,Gold
M00001,P6134,2,4,2,7.6,447,34,240,Silver
M00001,P4098,0,2,4,7.49,254,7,269,Platinum
M00002,P5746,5,1,1,5.49,360,15,307,Iron
M00002,P4346,1,1,0,5.58,442,25,351,Master
M00002,P7229,0,0,5,5.54,293,13,346,Gold
M00002,P2111,0,0,2,5.36,398,26,266,Master
M00002,P1708,0,2,5,5.46,454,25,245,Iron
M00002,P1053,3,0,0,6.54,200,6,316,Master
M00002,P3689,2,1,3,6.87,321,25,301,Gold
M00002,P8413,1,0,0,9.51,405,18,353,Gold
M00002,P2626,1,0,2,5.35,325,18,248,Gold
M00002,P7927,1,0,0,5.69,368,27,215,Platinum
M00003,P8547,0,1,0,3.83,354,12,218,Silver
M00003,P2096,0,0,2,8.03,320,20,331,Silver
M00003,P2563,1,3,5,6.14,382,17,323,Gold
M00003,P6820,0,2,1,5.24,322,26,226,Grandmaster
M00003,P3347,1,3,1,5.16,337,23,304,Platinum
M00003,P6666,0,3,3,7.16,349,11,350,Platinum
M00003,P7418,2,0,3,6.07,425,12,302,Gold
M00003,P6328,1,0,2,8.04,344,10,280,Diamond
M00003,P6718,0,0,1,3.04,268,0,354,Gold
M00003,P6031,3,0,1,4.42,364,30,312,Silver
M00004,P6837,1,0,1,5.27,511,13,305,Platinum
M00004,P5811,0,0,2,8.54,348,16,249,Gold
M00004,P6390,5,2,2,5.95,245,3,236,Platinum
M00004,P1037,0,2,5,9.58,412,23,295,Silver
M00004,P4701,0,0,2,9.13,364,22,271,Gold
M00004,P8703,1,1,2,6.08,344,31,316,Gold
M00004,P5266,0,0,2,7.88,407,33,273,Gold
M00004,P7411,1,1,2,7.73,321,20,345,Platinum
M00004,P3026,1,3,3,3.7,362,43,359,Gold
M00004,P1381,0,0,1,4.14,332,22,336,Gold
M00005,P9450,1,1,1,4.77,300,28,304,Gold
M00005,P3970,0,0,1,8.02,416,12,390,Iron
M00005,P3264,0,0,1,4.21,333,18,258,Bronze
M00005,P4396,0,1,1,5.07,413,22,318,Platinum
M00005,P6634,4,2,2,1.48,290,30,273,Platinum
M00005,P5587,0,2,2,5.39,421,16,271,Bronze
M00005,P5792,0,0,0,5.12,343,36,379,Gold
M00005,P5148,0,0,0,2.97,358,21,259,Iron
M00005,P9395,2,1,3,4.54,360,21,296,Iron
M00005,P4031,2,0,5,8.38,395,27,308,Silver
M00006,P5806,3,0,1,7.07,342,20,326,Gold
M00006,P5138,2,1,2,5.29,368,5,258,Platinum
M00006,P6838,1,0,2,6.0,411,13,320,Diamond
M00006,P6879,0,0,1,6.33,337,23,353,Bronze
M00006,P8831,1,1,6,4.7,379,8,310,Silver
M00006,P3774,1,3,2,3.78,307,16,295,Platinum
M00006,P3801,2,1,1,5.65,320,15,306,Gold
M00006,P2422,1,1,3,4.23,387,11,294,Gold
M00006,P7233,2,2,3,4.91,273,10,308,Master
M00006,P5940,1,0,3,3.47,346,16,244,Gold
M00007,P3466,0,2,2,2.92,365,11,320,Diamond
M00007,P3785,2,3,3,5.08,358,12,339,Gold
M00007,P2402,0,0,2,8.83,347,27,263,Platinum
M00007,P7535,1,1,3,5.89,318,26,247,Diamond
M00007,P6672,3,1,5,7.68,346,14,256,Silver
M00007,P1185,2,0,3,6.16,389,11,302,Silver
M00007,P2042,1,1,3,9.95,324,22,293,Diamond
M00007,P7064,2,0,2,4.67,320,20,291,Gold
M00007,P7279,0,0,4,8.03,429,25,332,Silver
M00007,P2387,2,2,2,8.64,435,13,327,Platinum
M00008,P3165,2,0,1,4.58,258,10,332,Diamond
M00008,P5138,1,0,1,8.65,332,25,276,Platinum
M00008,P7733,1,3,1,7.35,449,23,321,Diamond
M00008,P2540,1,0,2,8.23,319,21,305,Silver
M00008,P5178,3,0,2,2.46,412,18,292,Gold
M00008,P2701,0,0,1,2.12,284,3,287,Bronze
M00008,P5834,1,0,0,5.8,338,37,283,Silver
M00008,P5200,1,1,3,5.3,318,49,234,Iron
M00008,P8479,2,0,2,8.14,332,22,380,Bronze
M00008,P7886,4,0,2,9.17,360,23,272,Master
M00009,P6861,0,1,2,7.27,383,24,271,Gold
M00009,P5183,0,0,0,9.13,307,8,303,Gold
M00009,P3191,1,1,4,7.09,276,35,255,Platinum
M00009,P9350,1,2,0,7.19,334,26,240,Bronze
M00009,P7438,3,0,1,8.45,437,15,220,Silver
M00009,P3736,0,1,2,3.92,408,14,325,Silver
M00009,P7713,0,2,0,5.48,308,16,321,Silver
M00009,P7305,2,1,0,6.5,309,25,317,Iron
M00009,P6398,1,1,2,7.2,377,19,300,Silver
M00009,P2622,0,1,0,4.2,241,6,317,Diamond
M00010,P1869,2,3,3,5.02,368,27,302,Gold
M00010,P7818,1,2,3,4.44,393,9,346,Silver
M00010,P7863,2,0,3,6.1,347,34,207,Silver
M00010,P1261,3,3,1,8.68,427,18,310,Silver
M00010,P7231,5,1,3,6.54,382,23,237,Diamond
M00010,P7634,1,1,2,6.07,385,22,259,Gold
M00010,P8262,1,1,6,2.87,341,53,350,Gold
